coord,interval,distance,elevation
"(48.307803, 11.207483)",188.408758,24680.211899000016,516
"(48.308555, 11.206377)",117.007261,24797.219160000015,506
"(48.309298, 11.205302)",114.691011,24911.910171000014,507
"(48.310719, 11.203216)",220.893175,25132.803346000015,499
"(48.312935, 11.200074)",338.781772,25471.585118000014,504
"(48.313942, 11.198529)",160.02007,25631.605188000012,497
"(48.314359, 11.197865)",67.554863,25699.160051000013,497
"(48.314556, 11.19755)",31.984923,25731.144974000013,497
"(48.314895, 11.197002)",55.361017,25786.505991000013,485
"(48.315622, 11.195778)",121.390788,25907.896779000013,487
"(48.316418, 11.194397)",135.178397,26043.075176000013,487
"(48.316772, 11.193769)",60.893717,26103.968893000012,489
"(48.318064, 11.191216)",237.296328,26341.265221000012,501
"(48.319534, 11.188164)",278.730387,26619.995608000012,512
"(48.320435, 11.186243)",173.868092,26793.863700000013,507
"(48.322698, 11.181342)",441.299437,27235.163137000014,512
"(48.324898, 11.176693)",422.009694,27657.172831000014,527
"(48.325869, 11.174612)",188.013399,27845.186230000014,495
"(48.326742, 11.172834)",163.455546,28008.641776000015,514
"(48.327834, 11.170783)",194.312921,28202.954697000016,526
"(48.328853, 11.168913)",178.798857,28381.753554000017,526
"(48.32949, 11.16788)",104.18822,28485.941774000017,520
"(48.330165, 11.166895)",104.604674,28590.546448000016,520
"(48.330665, 11.166204)",75.523278,28666.069726000016,510
"(48.330829, 11.165977)",24.78918,28690.858906000016,510
"(48.33146, 11.165157)",92.749402,28783.608308000017,509
"(48.331963, 11.164566)",70.99208,28854.600388000017,526
"(48.332498, 11.163944)",75.208815,28929.80920300002,526
"(48.333407, 11.163027)",121.736686,29051.54588900002,539
"(48.334859, 11.161648)",190.99582,29242.54170900002,529
"(48.336845, 11.159717)",263.020741,29505.56245000002,529
"(48.337671, 11.158859)",111.646842,29617.209292000018,532
"(48.338362, 11.158057)",97.072913,29714.282205000018,533
"(48.339094, 11.157131)",106.377264,29820.659469000017,533
"(48.339678, 11.156322)",88.29978,29908.959249000018,544
"(48.339956, 11.15592)",42.888852,29951.848101000018,535
"(48.340468, 11.155115)",82.372344,30034.220445000017,535
"(48.340774, 11.154612)",50.411688,30084.632133000017,535
"(48.34111, 11.153999)",58.741691,30143.373824000017,541
"(48.342196, 11.151833)",200.582969,30343.956793000016,539
"(48.342967, 11.150182)",149.171073,30493.127866000017,539
"(48.344229, 11.147459)",245.411963,30738.539829000016,534
"(48.344622, 11.146613)",76.303561,30814.843390000016,534
"(48.345093, 11.145595)",91.695345,30906.538735000016,538
"(48.34565, 11.144408)",107.415691,31013.954426000015,538
"(48.34652, 11.142656)",161.672684,31175.627110000016,505
"(48.347266, 11.141162)",138.137851,31313.764961000015,493
"(48.34775, 11.140207)",88.779533,31402.544494000016,493
"(48.34832, 11.139166)",99.704963,31502.249457000016,496
"(48.349027, 11.138081)",112.322853,31614.572310000018,496
"(48.349282, 11.137717)",39.095014,31653.667324000016,496
"(48.349539, 11.137366)",38.604305,31692.271629000017,493
"(48.350246, 11.136447)",103.915566,31796.187195000017,486
"(48.350608, 11.135983)",52.891706,31849.078901000015,486
"(48.351678, 11.134799)",147.726886,31996.805787000016,496
"(48.35249, 11.134021)",107.069666,32103.875453000015,485
"(48.35414, 11.13262)",210.722827,32314.598280000017,482
"(48.355718, 11.131329)",199.776048,32514.374328000016,488
"(48.356169, 11.13096)",57.097615,32571.471943000015,496
"(48.357747, 11.129706)",198.482671,32769.95461400002,494
"(48.358498, 11.129013)",97.982882,32867.93749600001,499
"(48.359612, 11.127929)",147.549652,33015.487148000015,499
"(48.360392, 11.127105)",105.995919,33121.483067000016,499
"(48.36114, 11.126219)",105.873328,33227.35639500002,513
"(48.361841, 11.125291)",103.839386,33331.19578100002,513
"(48.362488, 11.124418)",96.648789,33427.844570000016,508
"(48.362981, 11.123632)",79.879634,33507.72420400001,521
"(48.363485, 11.122772)",84.744041,33592.46824500001,521
"(48.363985, 11.121824)",89.446404,33681.91464900001,521
"(48.364428, 11.120928)",82.534617,33764.44926600001,521
"(48.364862, 11.120006)",83.500676,33847.949942000014,552
"(48.365387, 11.118738)",110.40702,33958.35696200001,545
"(48.365892, 11.117375)",115.323612,34073.68057400001,545
"(48.366381, 11.11585)",125.129183,34198.80975700001,530
"(48.366788, 11.114417)",115.161508,34313.97126500001,541
"(48.367219, 11.112632)",140.342065,34454.313330000004,541
"(48.367549, 11.111268)",107.265912,34561.57924200001,536
"(48.367971, 11.109508)",138.262424,34699.84166600001,535
"(48.368274, 11.108345)",92.308851,34792.15051700001,535
"(48.368692, 11.106893)",116.93116,34909.08167700001,544
"(48.36919, 11.105542)",114.164545,35023.24622200001,525
"(48.369627, 11.10442)",96.103001,35119.34922300001,525
"(48.370032, 11.103477)",82.97133,35202.32055300001,523
"(48.370451, 11.102627)",78.208004,35280.52855700001,523
"(48.370969, 11.101672)",91.097381,35371.62593800001,530
"(48.371533, 11.100672)",96.926065,35468.55200300001,530
"(48.373364, 11.097705)",299.220427,35767.77243000001,513
"(48.375072, 11.095033)",273.977464,36041.749894000015,511
"(48.375432, 11.09447)",57.736549,36099.486443000016,511
"(48.376054, 11.093496)",99.822573,36199.309016000014,513
"(48.378381, 11.089886)",371.645644,36570.95466000001,510
"(48.379865, 11.087448)",244.304239,36815.25889900001,504
"(48.380978, 11.085736)",176.976312,36992.23521100001,504
"(48.382132, 11.083997)",181.599179,37173.83439,490
