coord,interval,distance,elevation
"(48.420014, 10.795808)",157.049141,16354.144177000006,469
"(48.42002, 10.798118)",170.518561,16524.662738000006,470
"(48.420005, 10.800551)",179.60451,16704.267248000007,464
"(48.419964, 10.802082)",113.105859,16817.373107000007,464
"(48.419915, 10.803357)",94.274479,16911.647586000006,466
"(48.419744, 10.807073)",274.963561,17186.611147000007,475
"(48.419616, 10.809118)",151.626621,17338.237768000006,477
"(48.419406, 10.811744)",195.247523,17533.485291000005,472
"(48.419288, 10.813189)",107.471385,17640.956676000005,468
"(48.419046, 10.815858)",198.851018,17839.807694000006,460
"(48.41888, 10.817541)",125.601075,17965.408769000005,454
"(48.418663, 10.819986)",182.093653,18147.502422000005,448
"(48.418566, 10.820897)",68.109088,18215.611510000006,452
"(48.418506, 10.821485)",43.915688,18259.527198000007,452
"(48.418403, 10.822587)",82.151559,18341.67875700001,452
"(48.418293, 10.823792)",89.789875,18431.468632000007,453
"(48.418235, 10.824334)",40.526933,18471.99556500001,453
"(48.418039, 10.826528)",163.421083,18635.41664800001,455
"(48.417821, 10.829238)",201.516356,18836.93300400001,468
"(48.417549, 10.832349)",231.639351,19068.57235500001,472
"(48.417465, 10.833339)",73.677226,19142.24958100001,473
"(48.417256, 10.835954)",194.436161,19336.685742000012,473
"(48.417232, 10.836215)",19.451329,19356.137071000012,473
"(48.417061, 10.838605)",177.454791,19533.591862000012,472
"(48.416863, 10.840879)",169.308351,19702.90021300001,472
"(48.416719, 10.84255)",124.391477,19827.291690000013,474
"(48.416331, 10.84698)",329.86692,20157.158610000013,473
"(48.416136, 10.849367)",177.54405,20334.702660000014,472
"(48.415764, 10.853671)",320.416493,20655.119153000014,475
"(48.415552, 10.85608)",179.396817,20834.515970000015,472
"(48.415297, 10.859013)",218.374523,21052.890493000014,473
"(48.415034, 10.862179)",235.550368,21288.440861000014,472
"(48.414978, 10.862906)",54.030468,21342.471329000015,471
"(48.414846, 10.864532)",120.933019,21463.404348000015,471
"(48.414773, 10.865695)",86.241031,21549.645379000016,471
"(48.41471, 10.866703)",74.744439,21624.389818000014,474
"(48.414636, 10.867874)",86.839725,21711.229543000016,474
"(48.414607, 10.868823)",70.133975,21781.363518000016,470
"(48.414594, 10.869446)",46.01561,21827.379128000015,470
"(48.414587, 10.869814)",27.178708,21854.557836000015,470
"(48.414533, 10.872126)",170.788853,22025.346689000013,470
"(48.414495, 10.873826)",125.573623,22150.920312000013,466
"(48.414457, 10.875447)",119.745004,22270.665316000013,467
"(48.414443, 10.876038)",43.658399,22314.323715000013,467
"(48.414433, 10.876459)",31.100261,22345.423976000013,467
"(48.414364, 10.879043)",190.918508,22536.34248400001,465
"(48.414301, 10.88159)",188.163427,22724.50591100001,466
"(48.414246, 10.884282)",198.831927,22923.33783800001,465
"(48.414226, 10.885183)",66.553862,22989.89170000001,465
"(48.414159, 10.887599)",178.517901,23168.40960100001,460
"(48.414135, 10.888227)",46.439211,23214.84881200001,460
"(48.414071, 10.889751)",112.735152,23327.583964000012,464
"(48.413897, 10.892451)",200.266864,23527.850828000013,462
"(48.413799, 10.893702)",92.997277,23620.848105000012,462
"(48.413653, 10.895349)",122.671234,23743.519339000013,463
"(48.413502, 10.896747)",104.566834,23848.086173000014,462
"(48.413334, 10.898152)",105.396018,23953.482191000014,462
"(48.413118, 10.89973)",118.950241,24072.432432000012,462
"(48.41287, 10.901388)",125.475042,24197.90747400001,460
"(48.412157, 10.905748)",331.514844,24529.42231800001,461
"(48.411856, 10.907569)",138.547763,24667.97008100001,460
"(48.411734, 10.908353)",59.451212,24727.42129300001,463
"(48.41156, 10.909373)",77.752853,24805.174146000012,463
"(48.41147, 10.909878)",38.604279,24843.77842500001,463
"(48.410654, 10.914844)",377.706516,25221.48494100001,464
"(48.41053, 10.915601)",57.566426,25279.05136700001,464
"(48.410332, 10.916784)",90.075655,25369.12702200001,466
"(48.409863, 10.919587)",213.42272,25582.54974200001,468
"(48.409375, 10.92256)",226.114199,25808.66394100001,464
"(48.408824, 10.925872)",252.097206,26060.76114700001,464
"(48.408528, 10.927706)",139.355461,26200.116608000008,468
"(48.408346, 10.928796)",82.985733,26283.10234100001,468
"(48.4083, 10.929068)",20.724337,26303.82667800001,461
"(48.40827, 10.929249)",13.774236,26317.60091400001,466
"(48.40817, 10.929844)",45.317461,26362.91837500001,466
"(48.408015, 10.930769)",70.439081,26433.35745600001,466
"(48.407493, 10.933937)",241.006706,26674.36416200001,466
"(48.407132, 10.936087)",163.745515,26838.109677000008,468
"(48.406763, 10.938296)",168.188259,27006.297936000006,467
"(48.40611, 10.942227)",299.201469,27305.499405000006,465
"(48.405742, 10.944454)",169.453741,27474.953146000007,465
"(48.405142, 10.948135)",279.871316,27754.824462000008,465
"(48.404854, 10.94982)",128.475901,27883.30036300001,465
"(48.404659, 10.95102)",91.222889,27974.52325200001,465
"(48.404233, 10.953584)",195.163903,28169.68715500001,465
"(48.404106, 10.954319)",56.080569,28225.767724000012,465
"(48.403749, 10.956451)",162.35815,28388.125874000012,466
"(48.403238, 10.959716)",247.699787,28635.825661000013,468
"(48.402902, 10.961664)",148.618986,28784.444647000015,467
"(48.40264, 10.963192)",116.533108,28900.977755000014,466
"(48.402263, 10.965357)",165.276793,29066.254548000015,467
"(48.402117, 10.966259)",68.557292,29134.811840000017,467
"(48.401884, 10.967723)",111.1693,29245.981140000018,471
"(48.401707, 10.969132)",105.891594,29351.87273400002,469
"(48.401595, 10.970309)",87.802202,29439.674936000018,469
"(48.40151, 10.971524)",90.216963,29529.891899000017,471
"(48.401474, 10.972497)",71.961593,29601.853492000017,471
"(48.401446, 10.974199)",125.72096,29727.574452000015,504
"(48.401505, 10.977363)",233.734285,29961.308737000014,507
"(48.401588, 10.980889)",260.536887,30221.845624000012,513
"(48.401601, 10.981465)",42.558565,30264.40418900001,517
"(48.401613, 10.982462)",73.63429,30338.038479000013,517
"(48.401587, 10.983863)",103.495481,30441.533960000015,516
"(48.401529, 10.985163)",96.213451,30537.747411000015,516
"(48.401416, 10.987042)",139.320806,30677.068217000015,516
"(48.401193, 10.990361)",246.340657,30923.408874000015,505
"(48.401059, 10.992406)",151.745561,31075.154435000015,501
"(48.400743, 10.997025)",342.894998,31418.049433000015,495
"(48.400585, 10.999632)",193.314606,31611.364039000015,496
"(48.400173, 11.005398)",428.252017,32039.616056000013,499
"(48.399874, 11.009836)",329.411704,32369.02776000001,485
"(48.399725, 11.012057)",164.847908,32533.87566800001,489
"(48.399646, 11.013134)",80.016615,32613.892283000012,481
"(48.399555, 11.014095)",71.684778,32685.57706100001,481
"(48.399453, 11.014948)",64.004803,32749.58186400001,481
"(48.399327, 11.015796)",64.171235,32813.75309900001,481
"(48.399204, 11.016576)",59.203144,32872.95624300001,481
"(48.399056, 11.017375)",61.257275,32934.21351800001,487
"(48.398832, 11.01842)",81.092931,33015.30644900001,487
"(48.398515, 11.019698)",100.74886,33116.05530900001,493
"(48.398215, 11.020803)",88.161139,33204.216448000014,493
"(48.397259, 11.024033)",261.160366,33465.37681400001,475
"(48.396986, 11.025047)",80.806273,33546.18308700001,479
"(48.396724, 11.026151)",86.58252,33632.765607000016,479
"(48.396479, 11.02744)",99.017524,33731.78313100002,483
"(48.396278, 11.028679)",94.193353,33825.97648400002,483
"(48.39614, 11.029744)",80.135647,33906.11213100002,491
"(48.396006, 11.031099)",101.172969,34007.28510000002,491
"(48.395951, 11.032136)",76.828352,34084.11345200002,490
"(48.395922, 11.033157)",75.471805,34159.58525700002,490
"(48.395907, 11.034181)",75.642836,34235.22809300002,487
"(48.395919, 11.035199)",75.193172,34310.42126500002,487
"(48.395952, 11.036203)",74.238157,34384.65942200002,482
"(48.396046, 11.038878)",197.830209,34582.48963100002,477
"(48.396433, 11.047795)",659.939247,35242.42887800002,477
"(48.396488, 11.049019)",90.600626,35333.02950400002,478
"(48.39652, 11.049964)",69.88002,35402.90952400002,478
"(48.396534, 11.050917)",70.39732,35473.30684400001,482
"(48.396531, 11.05163)",52.656884,35525.96372800002,482
"(48.396509, 11.05244)",59.869425,35585.833153000014,485
"(48.396463, 11.053336)",66.368146,35652.201299000015,485
"(48.396424, 11.05398)",47.757595,35699.95889400002,485
"(48.396365, 11.054683)",52.330553,35752.28944700002,484
"(48.396276, 11.055576)",66.688101,35818.97754800002,484
